,Harry Potter and the Chamber of Secrets,Unnamed: 1
522,the room to Hedwig’s cage and tipped the soggy vegetables at the bottom of the bowl,
523,into her empty food tray. She ruffled her feathers and gave him a look of deep disgust.,
524,"“It’s no good turning your beak up at it — that’s all we’ve got,” said Harry grimly.",
525,He put the empty bowl back on the floor next to the cat-flap and lay back down on the,
526,"bed, somehow even hungrier than he had been before the soup.",
527,"Supposing he was still alive in another four weeks, what would happen if he didn’t turn",
528,up at Hogwarts? Would someone be sent to see why he hadn’t come back? Would they,
529,be able to make the Dursleys let him go?,
530,"The room was growing dark. Exhausted, stomach rumbling, mind spinning over the",
531,"same unanswerable questions, Harry fell into an uneasy sleep.",
532,"He dreamed that he was on show in a zoo, with a card reading UNDERAGE WIZARD",
533,"attached to his cage. People goggled through the bars at him as he lay, starving and",
534,"weak, on a bed of straw. He saw Dobby’s face in the crowd and shouted out, asking for",
535,Page 19 of 291,
536,Get free e-books and video tutorials at www.passuneb.com,
537,,
538,,
539,"help, but Dobby called, “Harry Potter is safe there, sir!” and vanished. Then the Dursleys",
540,"appeared and Dudley rattled the bars of the cage, laughing at him.",
541,"“Stop it,” Harry muttered as the rattling pounded in his sore head. “Leave me alone… cut",
542,it out… I’m trying to sleep…”,
543,He opened his eyes. Moonlight was shining through the bars on the window. And,
544,"someone was goggling through the bars at him: a freckle-faced, red-haired, long-nosed",
545,someone.,
546,Ron Weasley was outside Harry’s window.,
547,CHAPTER THREE,
548,The Burrow,
549,"“Ron.” breathed Harry, creeping to the window and pushing it up so they could talk",
550,"through the bars. “Ron, how did you —? What the —?”",
551,Harry’s mouth fell open as the full impact of what he was seeing hit him. Ron was,
552,"leaning out of the back window of an old turquoise car, which was parked in midair.",
553,"Grinning at Harry from the front seats were Fred and George, Ron’s elder twin brothers.",
554,"“All right, Harry?” asked George.",
555,“What’s been going on?” said Ron. “Why haven’t you been answering my letters? I’ve,
556,"asked you to stay about twelve times, and then Dad came home and said you’d got an",
557,official warning for using magic in front of Muggles —”,
558,“It wasn’t me — and how did he know?”,
559,Page 20 of 291,
560,Get free e-books and video tutorials at www.passuneb.com,
561,,
562,,
563,"“He works for the Ministry,” said Ron. “You know we’re not supposed to do spells",
564,outside school —”,
565,"“You should talk,” said Harry, staring at the floating car.",
566,"“Oh, this doesn’t count,” said Ron. “We’re only borrowing this. It’s Dad’s, we didn’t",
567,enchant it. But doing magic in front of those Muggles you live with —”,
568,"“I told you, I didn’t — but it’ll take too long to explain now — look, can you tell them at",
569,"Hogwarts that the Dursleys have locked me up and won’t let me come back, and",
570,"obviously I can’t magic myself out, because the Ministry’ll think that’s the second spell",
571,"I’ve done in three days, so —”",
572,"“Stop gibbering,” said Ron. “We’ve come to take you home with us.”",
573,“But you can’t magic me out either —”,
574,"“We don’t need to,” said Ron, jerking his head toward the front seat and grinning. “You",
575,forget who I’ve got with me.”,
576,"“Tie that around the bars,” said Fred, throwing the end of a rope to Harry.",
577,"“If the Dursleys wake up, I’m dead,” said Harry as he tied the rope tightly around a bar",
578,and Fred revved up the car.,
579,"“Don’t worry,” said Fred, “and stand back.”",
580,"Harry moved back into the shadows next to Hedwig, who seemed to have realized how",
581,important this was and kept still and silent. The car revved louder and louder and,
582,"suddenly, with a crunching noise, the bars were pulled clean out of the window as Fred",
583,drove straight up in the air. Harry ran back to the window to see the bars dangling a few,
584,"feet above the ground. Panting, Ron hoisted them up into the car. Harry listened",
585,"anxiously, but there was no sound from the Dursleys’ bedroom.",
586,"When the bars were safely in the back seat with Ron, Fred reversed as close as possible",
587,to Harry’s window.,
588,"“Get in,” Ron said.",
589,Page 21 of 291,
590,Get free e-books and video tutorials at www.passuneb.com,
591,,
592,,
593,“But all my Hogwarts stuff — my wand — my broomstick —”,
594,“Where is it?”,
595,"“Locked in the cupboard under the stairs, and I can’t get out of this room —”",
596,"“No problem,” said George from the front passenger seat. “Out of the way, Harry.”",
597,Fred and George climbed catlike through the window into Harry’s room. You had to,
598,"hand it to them, thought Harry, as George took an ordinary hairpin from his pocket and",
599,started to pick the lock.,
600,"“A lot of wizards think it’s a waste of time, knowing this sort of Muggle trick,” said Fred,",
601,"“but we feel they’re skills worth learning, even if they are a bit slow.”",
602,There was a small click and the door swung open.,
603,“So — we’ll get your trunk — you grab anything you need from your room and hand it,
604,"out to Ron,” whispered George.",
605,"“Watch out for the bottom stair — it creaks,” Harry whispered back as the twins",
606,disappeared onto the dark landing.,
607,"Harry dashed around his room, collecting his things and passing them out of the",
608,window to Ron. Then he went to help Fred and George heave his trunk up the stairs.,
609,Harry heard Uncle Vernon cough.,
610,"At last, panting, they reached the landing, then carried the trunk through Harry’s room",
611,"to the open window. Fred climbed back into the car to pull with Ron, and Harry and",
612,"George pushed from the bedroom side. Inch by inch, the trunk slid through the window.",
613,Uncle Vernon coughed again.,
614,"“A bit more,” panted Fred, who was pulling from inside the car. “One good push —”",
615,Harry and George threw their shoulders against the trunk and it slid out of the window,
616,into the back seat of the car.,
617,Page 22 of 291,
618,Get free e-books and video tutorials at www.passuneb.com,
619,,
620,,
621,"“Okay, let’s go,” George whispered.",
622,But as Harry climbed onto the windowsill there came a sudden loud screech from,
623,"behind him, followed immediately by the thunder of Uncle Vernon’s voice.",
624,“THAT RUDDY OWL!”,
625,“I’ve forgotten Hedwig!”,
626,Harry tore back across the room as the landing light clicked on — he snatched up,
627,"Hedwig’s cage, dashed to the window, and passed it out to Ron. He was scrambling",
628,back onto the chest of drawers when Uncle Vernon hammered on the unlocked door —,
629,and it crashed open.,
630,"For a split second, Uncle Vernon stood framed in the doorway; then he let out a bellow",
631,"like an angry bull and dived at Harry, grabbing him by the ankle.",
632,"Ron, Fred, and George seized Harry’s arms and pulled as hard as they could.",
633,“Petunia!” roared Uncle Vernon. “He’s getting away! HE’S GETTING AWAY!”,
634,But the Weasleys gave a gigantic tug and Harry’s leg slid out of Uncle Vernon’s grasp —,
635,Harry was in the car — he’d slammed the door shut —,
636,"“Put your foot down, Fred!” yelled Ron, and the car shot suddenly toward the moon.",
637,"Harry couldn’t believe it — he was free. He rolled down the window, the night air",
638,"whipping his hair, and looked back at the shrinking rooftops of Privet Drive. Uncle",
639,"Vernon, Aunt Petunia, and Dudley were all hanging, dumbstruck, out of Harry’s window.",
640,“See you next summer!” Harry yelled.,
641,"The Weasleys roared with laughter and Harry settled back in his seat, grinning from ear",
642,to ear.,
643,Page 23 of 291,
644,Get free e-books and video tutorials at www.passuneb.com,
645,,
646,,
647,"“Let Hedwig out,” he told Ron. “She can fly behind us. She hasn’t had a chance to",
648,stretch her wings for ages.”,
649,"George handed the hairpin to Ron and, a moment later, Hedwig soared joyfully out of",
650,the window to glide alongside them like a ghost.,
651,"“So — what’s the story, Harry?” said Ron impatiently. “What’s been happening?”",
652,"Harry told them all about Dobby, the warning he’d given Harry and the fiasco of the",
653,"violet pudding. There was a long, shocked silence when he had finished.",
654,"“Very fishy,” said Fred finally.",
655,“Definitely dodgy” agreed George. “So he wouldn’t even tell you who’s supposed to be,
656,plotting all this stuff?”,
657,"“I don’t think he could,” said Harry. “I told you, every time he got close to letting",
658,"something slip, he started banging his head against the wall.”",
659,He saw Fred and George look at each other.,
660,"“What, you think he was lying to me?” said Harry.",
661,"“Well,” said Fred, “put it this way — house-elves have got powerful magic of their own,",
662,but they can’t usually use it without their master’s permission. I reckon old Dobby was,
663,sent to stop you coming back to Hogwarts. Someone’s idea of a joke. Can you think of,
664,anyone at school with a grudge against you?”,
665,"“Yes,” said Harry and Ron together, instantly.",
666,"“Draco Malfoy,” Harry explained. “He hates me.”",
667,"“Draco Malfoy?” said George, turning around. “Not Lucius Malfoy’s son?”",
668,"“Must be, it’s not a very common name, is it?” said Harry.",
669,"“I’ve heard Dad talking about him,” said George. “He was a big supporter of You-Know-",
670,Who.”,
